Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02022242.1	chr2	49.629	CH477838.1	359045	398332
AAGE02022254.1	chr2	49.629	CH477838.1	626680	645461
AAGE02022273.1	chr2	49.629	CH477840.1	217085	387894
AAGE02022275.1	chr2	49.629	CH477840.1	506407	587271
AAGE02022346.1	chr1	21.535	CH477844.1	161750	221981
AAGE02022350.1	chr1	21.535	CH477844.1	394986	438965
AAGE02022354.1	chr2	52.532	CH477845.1	1	123801
AAGE02022368.1	chr2	52.532	CH477845.1	591161	617534
AAGE02022371.1	chr2	8.657	CH477846.1	45601	189988
AAGE02022408.1	chr2	49.629	CH477848.1	127953	201224
AAGE02022410.1	chr2	49.629	CH477848.1	274688	371274
AAGE02022538.1	chr2	55.421	CH477853.1	327421	351091
AAGE02022540.1	chr2	55.421	CH477853.1	434475	493414
AAGE02022562.1	chr1	21.535	CH477855.1	169687	270737
AAGE02022576.1	chr3	20.398	CH477856.1	247205	384102
AAGE02022586.1	chr1	12.537	CH477857.1	319719	368881
AAGE02022587.1	chr1	12.537	CH477857.1	368982	470601
AAGE02022590.1	chr1	12.537	CH477857.1	581481	601292
AAGE02022609.1	chr2	49.629	CH477859.1	139865	170567
AAGE02022610.1	chr2	49.629	CH477859.1	179194	185505
AAGE02022622.1	chr2	49.629	CH477859.1	271761	366810
AAGE02022624.1	chr2	49.629	CH477859.1	370531	640560
AAGE02022693.1	chr2	46.756	CH477862.1	167809	312061
AAGE02022774.1	chr3	40.78	CH477865.1	501432	652264
AAGE02022786.1	chr1	54.179	CH477866.1	499921	527178
AAGE02022798.1	chr3	69.452	CH477868.1	1	103891
AAGE02022801.1	chr3	69.452	CH477868.1	162741	198241
AAGE02022802.1	chr3	69.452	CH477868.1	204081	323078
AAGE02022803.1	chr3	69.452	CH477868.1	323426	495549
AAGE02022850.1	chr2	49.629	CH477870.1	265601	349390
AAGE02022872.1	chr3	14.678	CH477872.1	1	174032
AAGE02022874.1	chr3	14.678	CH477872.1	178600	368821
AAGE02022877.1	chr3	33.231	CH477872.1	493435	590958
AAGE02022883.1	chr1	45.369	CH477873.1	147388	306403
AAGE02022889.1	chr1	45.369	CH477873.1	472034	535302
AAGE02023016.1	chr3	33.231	CH477880.1	185922	248883
AAGE02023017.1	chr3	33.231	CH477880.1	248984	380188
AAGE02023021.1	chr3	33.231	CH477880.1	399965	604116
AAGE02023027.1	chr1	0	CH477881.1	242011	326567
AAGE02023071.1	chr1	21.535	CH477884.1	1	161074
AAGE02023073.1	chr1	21.535	CH477884.1	164525	233829
AAGE02023082.1	chr1	21.535	CH477884.1	417609	455855
AAGE02023109.1	chr1	12.537	CH477885.1	537727	581074
AAGE02023119.1	chr2	52.532	CH477886.1	219229	408788
AAGE02023127.1	chr1	45.369	CH477887.1	94102	150003
AAGE02023128.1	chr1	45.369	CH477887.1	150104	175975
AAGE02023130.1	chr1	45.369	CH477887.1	232191	314819
AAGE02023135.1	chr1	45.369	CH477887.1	452998	492565
AAGE02023136.1	chr1	45.369	CH477887.1	492666	519991
AAGE02023148.1	chr3	33.231	CH477888.1	381368	508283
AAGE02023157.1	chr2	55.421	CH477890.1	101047	105451
AAGE02023161.1	chr2	55.421	CH477890.1	174466	280913
AAGE02023304.1	chr2	58.962	CH477896.1	506930	610962
AAGE02023417.1	chr2	46.756	CH477901.1	190021	221689
AAGE02023471.1	chr2	52.532	CH477904.1	214849	250150
AAGE02023472.1	chr2	52.532	CH477904.1	250251	440570
AAGE02023473.1	chr2	52.532	CH477904.1	440671	569745
AAGE02023474.1	chr2	52.532	CH477904.1	569846	645030
AAGE02023483.1	chr2	29.911	CH477905.1	345139	518772
AAGE02023489.1	chr3	40.78	CH477906.1	63117	172263
AAGE02023490.1	chr3	40.78	CH477906.1	172364	175879
AAGE02023495.1	chr3	40.78	CH477906.1	281668	316307
AAGE02023609.1	chr3	0	CH477910.1	158745	208658
AAGE02023612.1	chr3	0	CH477910.1	273720	584737
AAGE02023666.1	chr3	11.818	CH477914.1	178732	294197
AAGE02023667.1	chr3	11.818	CH477914.1	294298	345875
AAGE02023668.1	chr3	11.818	CH477914.1	350923	513626
AAGE02023669.1	chr3	11.818	CH477914.1	513727	547274
AAGE02023680.1	chr1	24.396	CH477915.1	249104	332630
AAGE02023684.1	chr1	24.396	CH477915.1	397503	480153
AAGE02023690.1	chr3	60.87	CH477916.1	84975	134299
AAGE02023692.1	chr3	60.87	CH477916.1	145620	238650
AAGE02023693.1	chr3	60.87	CH477916.1	238751	545064
AAGE02023792.1	chr3	46.501	CH477922.1	497345	553209
AAGE02023911.1	chr3	28.979	CH477929.1	275607	364102
AAGE02023912.1	chr3	28.979	CH477929.1	364203	435446
AAGE02024066.1	chr1	21.535	CH477937.1	1	284126
AAGE02024080.1	chr3	40.78	CH477938.1	53579	72844
AAGE02024082.1	chr3	40.78	CH477938.1	92278	210233
AAGE02024088.1	chr3	40.78	CH477938.1	361651	456376
AAGE02024089.1	chr3	40.78	CH477938.1	456477	466809
AAGE02024090.1	chr3	40.78	CH477938.1	469533	477296
AAGE02024093.1	chr3	8.823	CH477939.1	1	124629
AAGE02024094.1	chr3	8.823	CH477939.1	124730	407059
AAGE02024096.1	chr3	8.823	CH477939.1	417856	517981
AAGE02024118.1	chr2	58.962	CH477941.1	96213	290440
AAGE02024138.1	chr2	52.532	CH477942.1	59200	421629
AAGE02024143.1	chr2	52.532	CH477942.1	491236	517511
AAGE02024172.1	chr3	33.231	CH477945.1	307487	509100
AAGE02024176.1	chr3	40.78	CH477946.1	92858	168126
AAGE02024177.1	chr3	40.78	CH477946.1	168227	233868
AAGE02024268.1	chr1	45.369	CH477952.1	414001	420975
AAGE02024309.1	chr2	46.756	CH477954.1	74645	110783
AAGE02024413.1	chr3	33.231	CH477958.1	1	311180
AAGE02024414.1	chr3	33.231	CH477958.1	311281	473614
AAGE02024451.1	chr2	55.421	CH477960.1	33531	68773
AAGE02024522.1	chr2	55.421	CH477963.1	300055	496994
AAGE02024640.1	chr2	55.421	CH477970.1	158058	230261
AAGE02024645.1	chr2	55.421	CH477970.1	274091	323838
AAGE02024775.1	chr2	49.629	CH477978.1	85784	99784
AAGE02024797.1	chr3	60.87	CH477980.1	70739	143825
AAGE02024798.1	chr3	60.87	CH477980.1	143926	226897
AAGE02024799.1	chr3	60.87	CH477980.1	226998	422329
AAGE02024842.1	chr3	49.361	CH477983.1	282173	303750
AAGE02024847.1	chr3	49.361	CH477983.1	347158	392863
AAGE02024856.1	chr2	49.629	CH477984.1	24401	59191
AAGE02024862.1	chr2	49.629	CH477984.1	129221	149306
AAGE02024869.1	chr2	49.629	CH477984.1	307657	333092
AAGE02024905.1	chr2	65.871	CH477986.1	48079	101512
AAGE02024906.1	chr2	65.871	CH477986.1	101613	174071
AAGE02024907.1	chr2	65.871	CH477986.1	174172	268788
AAGE02024909.1	chr2	65.871	CH477986.1	287860	353427
AAGE02024912.1	chr2	65.871	CH477986.1	398677	449864
AAGE02024966.1	chr2	49.629	CH477990.1	283280	374706
AAGE02025047.1	chr2	55.421	CH477996.1	1	57164
AAGE02025049.1	chr2	55.421	CH477996.1	62200	118972
AAGE02025051.1	chr2	55.421	CH477996.1	157086	163937
AAGE02025052.1	chr2	55.421	CH477996.1	164038	211954
AAGE02025053.1	chr2	55.421	CH477996.1	212055	303885
AAGE02025105.1	chr2	46.756	CH478000.1	58370	98869
AAGE02025221.1	chr2	49.629	CH478004.1	458010	479517
AAGE02025225.1	chr1	21.535	CH478005.1	5396	55658
AAGE02025228.1	chr1	21.535	CH478005.1	124560	280562
AAGE02025230.1	chr1	21.535	CH478005.1	291344	372374
AAGE02025288.1	chr2	49.629	CH478011.1	77648	105400
AAGE02025289.1	chr2	49.629	CH478011.1	105501	272242
AAGE02025307.1	chr2	52.532	CH478012.1	196082	379123
AAGE02025333.1	chr2	49.629	CH478014.1	44948	78021
AAGE02025337.1	chr2	49.629	CH478014.1	214127	259539
AAGE02025363.1	chr3	11.818	CH478016.1	6938	72340
AAGE02025364.1	chr3	11.818	CH478016.1	72441	122515
AAGE02025375.1	chr2	49.629	CH478017.1	251351	330023
AAGE02025386.1	chr2	8.657	CH478018.1	1	66457
AAGE02025447.1	chr1	21.535	CH478023.1	242996	337110
AAGE02025458.1	chr2	49.629	CH478024.1	1	140268
AAGE02025459.1	chr2	49.629	CH478024.1	142319	181293
AAGE02025489.1	chr2	85.257	CH478027.1	1	32884
AAGE02025490.1	chr2	85.257	CH478027.1	32985	373405
AAGE02025564.1	chr2	49.629	CH478032.1	447782	456299
AAGE02025596.1	chr2	46.756	CH478034.1	363567	393188
AAGE02025620.1	chr2	46.756	CH478036.1	44376	246086
AAGE02025623.1	chr2	46.756	CH478036.1	275088	352720
AAGE02025625.1	chr2	46.756	CH478036.1	374181	387554
AAGE02025696.1	chr2	49.629	CH478042.1	221128	285648
AAGE02025699.1	chr2	49.629	CH478042.1	341958	393120
AAGE02025719.1	chr3	37.92	CH478044.1	192653	421892
AAGE02025729.1	chr2	49.629	CH478045.1	183730	192126
AAGE02025731.1	chr2	49.629	CH478045.1	233106	239248
AAGE02025742.1	chr2	15.163	CH478046.1	1	140523
AAGE02025753.1	chr3	46.501	CH478047.1	127392	220864
AAGE02025769.1	chr1	21.535	CH478048.1	268516	340266
AAGE02025974.1	chr2	46.756	CH478064.1	106500	184353
AAGE02025975.1	chr2	46.756	CH478064.1	184723	224875
AAGE02026100.1	chr3	33.231	CH478071.1	222163	269719
AAGE02026321.1	chr2	58.962	CH478082.1	183171	208079
AAGE02026323.1	chr2	58.962	CH478082.1	210853	306247
AAGE02026335.1	chr2	58.962	CH478083.1	140561	199984
AAGE02026336.1	chr2	58.962	CH478083.1	200866	234706
AAGE02026416.1	chr1	21.535	CH478090.1	108627	252341
AAGE02026421.1	chr1	24.396	CH478091.1	37958	141141
AAGE02026422.1	chr1	24.396	CH478091.1	141242	233737
AAGE02026439.1	chr2	46.756	CH478093.1	50312	189504
AAGE02026440.1	chr2	46.756	CH478093.1	189605	320106
AAGE02026457.1	chr3	5.829	CH478095.1	211672	360521
AAGE02026596.1	chr2	46.756	CH478103.1	242433	293813
AAGE02026597.1	chr2	46.756	CH478103.1	293914	362023
AAGE02026621.1	chr1	45.369	CH478105.1	93501	155574
AAGE02026680.1	chr1	4.47	CH478110.1	288879	343632
AAGE02026758.1	chr1	21.535	CH478117.1	12684	49815
AAGE02026855.1	chr2	79.537	CH478123.1	240868	348754
AAGE02026856.1	chr2	79.537	CH478123.1	348855	443532
AAGE02026955.1	chr3	33.231	CH478129.1	1	52545
AAGE02026956.1	chr3	33.231	CH478129.1	52646	266050
AAGE02026990.1	chr2	46.756	CH478132.1	114521	253435
AAGE02026991.1	chr2	46.756	CH478132.1	253536	299341
AAGE02027008.1	chr3	40.78	CH478134.1	26382	95308
AAGE02027166.1	chr3	5.829	CH478145.1	1	130232
AAGE02027168.1	chr3	5.829	CH478145.1	163804	308001
AAGE02027204.1	chr2	55.421	CH478147.1	35160	129163
AAGE02027207.1	chr2	55.421	CH478147.1	178945	316554
AAGE02027293.1	chr3	43.641	CH478153.1	118738	136300
AAGE02027301.1	chr3	43.641	CH478153.1	283329	343486
AAGE02027310.1	chr1	0	CH478154.1	201358	217180
AAGE02027317.1	chr3	20.398	CH478155.1	1	63838
AAGE02027319.1	chr3	20.398	CH478155.1	177739	313087
AAGE02027473.1	chr3	33.231	CH478168.1	327764	359080
AAGE02027488.1	chr2	49.629	CH478170.1	219349	226838
AAGE02027534.1	chr1	21.535	CH478175.1	1	84439
AAGE02027536.1	chr1	21.535	CH478175.1	152506	301048
AAGE02027539.1	chr2	52.532	CH478176.1	73195	119396
AAGE02027548.1	chr1	21.535	CH478177.1	131402	243793
AAGE02027579.1	chr2	55.421	CH478179.1	101450	176592
AAGE02027580.1	chr2	55.421	CH478179.1	176693	216113
AAGE02027640.1	chr2	55.421	CH478185.1	129448	227402
AAGE02027648.1	chr1	24.396	CH478186.1	52334	165190
AAGE02027814.1	chr2	46.756	CH478196.1	128378	169776
AAGE02027845.1	chr2	49.629	CH478198.1	99066	104083
AAGE02027935.1	chr2	55.421	CH478207.1	1	18067
AAGE02027936.1	chr2	55.421	CH478207.1	18202	58661
AAGE02027947.1	chr1	4.47	CH478209.1	1	131368
AAGE02028102.1	chr3	43.641	CH478221.1	237953	277634
AAGE02028108.1	chr2	29.911	CH478222.1	90509	192372
AAGE02028172.1	chr3	33.231	CH899795.1	1	264097
AAGE02028196.1	chr2	15.163	CH478230.1	1	26855
AAGE02028197.1	chr2	15.163	CH478230.1	26956	125098
AAGE02028282.1	chr2	15.163	CH478237.1	1	68499
AAGE02028285.1	chr2	15.163	CH478237.1	157734	256344
AAGE02028306.1	chr2	70.322	CH478240.1	1	88783
AAGE02028307.1	chr2	70.322	CH478240.1	88884	116414
AAGE02028308.1	chr2	70.322	CH478240.1	116515	255498
AAGE02028309.1	chr2	52.532	CH478241.1	1	136804
AAGE02028326.1	chr2	46.756	CH478242.1	196337	270590
AAGE02028365.1	chr1	21.535	CH478245.1	154488	220158
AAGE02028366.1	chr1	21.535	CH478245.1	220362	320638
AAGE02028378.1	chr2	52.532	CH478247.1	81871	170021
AAGE02028503.1	chr1	4.47	CH478259.1	13440	98099
AAGE02028572.1	chr2	52.532	CH478265.1	1	94445
AAGE02028712.1	chr3	11.818	CH478277.1	69416	84999
AAGE02028713.1	chr3	11.818	CH478277.1	85100	146634
AAGE02028716.1	chr3	11.818	CH478277.1	197539	233539
AAGE02028775.1	chr3	40.78	CH478282.1	56085	204667
AAGE02028889.1	chr2	49.629	CH478293.1	1	29042
AAGE02028891.1	chr2	49.629	CH478293.1	42963	130146
AAGE02028914.1	chr3	8.823	CH478296.1	7842	16856
AAGE02028915.1	chr3	8.823	CH478296.1	17162	55168
AAGE02028917.1	chr3	8.823	CH478296.1	81633	124444
AAGE02029202.1	chr1	4.47	CH478321.1	70541	138453
AAGE02029206.1	chr1	4.47	CH478321.1	197935	207905
AAGE02029229.1	chr1	45.369	CH478325.1	43748	72566
AAGE02029242.1	chr2	55.421	CH478326.1	1	31874
AAGE02029243.1	chr2	55.421	CH478326.1	35890	166561
AAGE02029244.1	chr2	55.421	CH478326.1	166662	198919
AAGE02029280.1	chr2	49.629	CH478332.1	1	63947
AAGE02029417.1	chr1	24.396	CH478345.1	38579	125680
AAGE02029419.1	chr1	24.396	CH478345.1	135247	224611
AAGE02029464.1	chr2	52.532	CH899796.1	1	191961
AAGE02029470.1	chr2	49.629	CH478351.1	36230	46985
AAGE02029569.1	chr2	49.629	CH478357.1	188838	211498
AAGE02029603.1	chr2	41.035	CH478361.1	1	16292
AAGE02029629.1	chr3	40.78	CH478364.1	66530	105905
AAGE02029679.1	chr3	60.87	CH478370.1	1	88826
AAGE02029743.1	chr2	73.499	CH478378.1	1	134627
AAGE02029744.1	chr2	73.499	CH478378.1	134728	172864
AAGE02029806.1	chr2	65.871	CH478385.1	99186	172842
AAGE02029998.1	chr3	20.398	CH478406.1	26456	67911
AAGE02029999.1	chr3	20.398	CH478406.1	68978	143360
AAGE02030344.1	chr2	52.532	CH478448.1	104792	152001
AAGE02030363.1	chr2	49.629	CH478450.1	104470	118388
AAGE02030871.1	chr2	52.532	CH478507.1	17234	95840
AAGE02030895.1	chr2	52.532	CH478512.1	1	41524
AAGE02030896.1	chr2	52.532	CH478512.1	41625	95021
AAGE02030906.1	chr2	46.756	CH478514.1	1	82940
AAGE02031179.1	chr2	90.996	CH899797.1	1	105334
AAGE02031231.1	chr2	52.532	CH478561.1	1	20216
AAGE02031619.1	chr1	21.535	CH478617.1	36789	82188
AAGE02031625.1	chr2	52.532	CH478619.1	1	61341
AAGE02031632.1	chr2	49.629	CH478620.1	27926	37718
AAGE02032509.1	chr3	43.641	CH478801.1	1	26849
AAGE02033359.1	chr3	40.78	CH899942.1	1	15962
